acronym,extended_value
stfu,shut the fuck up
u,you
luv,love
ur,your
n00b,noob
killz,kills
lyfe,life
btw,by the way
fukn,fucking
gtfo,get the fuck out
pls,please
fuk,fuck
xbl,xbox live
kys,kill yourself
wtf,what the fuck
kthnxbai,ok thanks bye
omg,oh my god
omfg,oh my fucking god
l8r,later
ez,easy
n00bs,noobs
gud,good
gawd,god
pwecious,precious
l0l,lol
pix,pics
yr,year
fagt,faggot
urself,yourself
gj,good job
fukkin,fucking
sum,some
m8,mate
muthafucker,motherfucker
playthru,playthrough
nubz,noobs
r,are
fkin,fucking
tf,the fuck
teh,the
faggit,faggot
l2p,learn to play
pl0x,please
plox,please
deagls,deagles
ghey,gay
bithc,bitch
wut,what
whatchu,what are you
bout,about
whoire,whore
thar,there
stap,stop
h8ing,hating
plz,please
fk,fuck
hawt,hot
b,be
thnx,thanks
rn,right now
thx,thanks
idk,i don't know
wtffff,what the fuck
amiright,am i right
fukd,fucked
watsup,what's up
kthxbye,ok thanks bye
bby,baby
nub,noob
kthxbai,ok thanks bye
soz,sorry
fck,fuck
nite,night
m9,mate
gtfoh,get the fuck out of here
h8r,hater
gna,gonna
rite,right
wadup,what up
fgt,faggot
abt,about
gae,gay
ikr,i know right
cuz,'cause
suk,suck
moar,more
m0ar,more
b4,before
dafuq,the fuck
brix,bricks
fite,fight
fckin,fuckin
mnk,mouse and keyboard
sht,shit
l33t,elite
leet,elite
gz,gratz
nd,and
ffs,for fuck's sake
lul,lol
gitgud,get good
atm,at the moment
gn,good night
gr8,great
ic,i see
imo,in my opinion
imho,in my honest opinion
h8,hate
u2,you too
w8,wait
srsry,seriously
f2f,face to face
2nite,tonight
tbh,to be honest
f aggot,faggot
s imp,simp
lolwut,lol what
o_0, 
0_o, 
o_o, 
0_0, 
